rank,Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude
10,Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,Entertainment,580574000,145100,2300000,1700000,27900000,600000,328239523,37.09024,-95.712891
9,Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,People,48947000,12200,195800,146800,2300000,100000,144373535,61.52401,105.318756
7,ýýý Kids Diana Show,112000000,93247040539,People & Blogs,ýýý Kids Diana Show,1111,United States,Entertainment,731674000,182900,2900000,2200000,35100000,,328239523,37.09024,-95.712891
8,PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,Entertainment,39184000,9800,156700,117600,1900000,,126226568,36.204824,138.252924
5,SET India,159000000,148000000000,Shows,SET India,116536,India,Entertainment,1824000000,455900,7300000,5500000,87500000,1000000,1366417754,20.593684,78.96288
4,Cocomelon - Nursery Rhymes,162000000,164000000000,Education,Cocomelon - Nursery Rhymes,966,United States,Education,1975000000,493800,7900000,5900000,94800000,1000000,328239523,37.09024,-95.712891
3,MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,Entertainment,1348000000,337000,5400000,4000000,64700000,8000000,328239523,37.09024,-95.712891
6,Music,119000000,0,unknown,Music,0,unknown,Music,nan,0,0,0,0,,,,
1,T-Series,245000000,228000000000,Music,T-Series,20082,India,Music,2258000000,564600,9000000,6800000,108400000,2000000,1366417754,20.593684,78.96288
2,YouTube Movies,170000000,0,Film & Animation,youtubemovies,1,United States,Games,12,0,0.05,0.04,0.58,,328239523,37.09024,-95.712891
